title,url,image_url,scraped_at
One year of Keir: A review of Starmer's first 12 months in office,https://news.sky.com/video/beth-rigby-looks-back-as-keir-starmer-reaches-one-year-as-prime-minister-13392134,https://e3.365dm.com/25/07/384x288/skynews-beth-rigby-downing-street_6956750.jpg?20250704072006,2025-07-04 10:19:25.273760
'My heart's been ripped out',https://news.sky.com/video/jota-liverpool-fans-lay-flowers-for-diogo-jota-outside-anfield-13392117,https://e3.365dm.com/25/07/384x288/sky-news-liverpool-jota_6956666.jpg?20250703220632,2025-07-04 10:19:25.273935
Jota's former teammate: 'This can't be real',https://news.sky.com/video/diogo-jotas-former-teammate-miguel-rocha-reacts-to-the-loss-of-the-liverpool-forward-13392126,https://e3.365dm.com/25/07/384x288/skynews-miguel-rocha-diogo-jota_6956671.jpg?20250703215801,2025-07-04 10:19:25.274094
Liverpool fans react to Jota's chant,https://news.sky.com/video/diogo-jota-liverpool-fans-react-to-players-chant-13392102,https://e3.365dm.com/25/07/384x288/skynews-liverpool-jota_6956612.jpg?20250703210125,2025-07-04 10:19:25.274262
,,,2025-07-04 10:19:25.274388
Police learn 'harsh lessons' on grooming cases,https://news.sky.com/video/greater-manchester-police-make-improvements-over-sexual-exploitation-cases-13391931,https://e3.365dm.com/25/07/384x288/3815e17614cecae436fa8b45f23d9ffbf5714304076741b184e41f3898ea249f_6956368.jpg?20250703152428,2025-07-04 10:19:25.274673
'Serious questions' after Heathrow fire,https://news.sky.com/video/heathrow-substation-fire-raises-serious-questions-over-national-grid-assets-13391541,https://e3.365dm.com/25/07/384x288/skynews-heathrow-airport-national-grid_6955618.jpg?20250702170222,2025-07-04 10:19:25.274831
Idaho student murders: The case that mystified America,https://news.sky.com/video/sky-news-looks-back-at-the-2022-murder-of-four-university-of-idaho-students-13391635,https://e3.365dm.com/22/12/384x288/skynews-martha-kelner-idaho_5996110.jpg?20250702210138,2025-07-04 10:19:25.275109
New health pilot a force for good,https://news.sky.com/video/new-health-pilot-proving-a-force-for-good-for-patients-and-the-nhs-13390370,https://e3.365dm.com/25/06/384x288/8e8dfef77cd22373b359db5347810045ddd98171b3f8832f7e6683d7deb701ca_6953464.jpg?20250630065612,2025-07-04 10:19:25.275386
Special report: West Africa's kush crisis,https://news.sky.com/video/special-report-west-africas-kush-crisis-13391561,https://e3.365dm.com/25/07/384x288/skynews-sierra-leone-kush_6955195.jpg?20250702112312,2025-07-04 10:19:25.275549
Migrant Channel crossings hit new record,https://news.sky.com/video/migrant-channel-crossings-pass-20-000-in-first-six-months-of-the-year-13391176,https://e3.365dm.com/25/07/384x288/skynews-hurynag-migrants-screen_6954843.jpg?20250701204054,2025-07-04 10:19:25.275719
Amnesty launched to tackle knife crime,https://news.sky.com/video/uks-largest-ever-knife-amnesty-launched-hoping-to-cut-knife-crime-in-half-13391174,https://e3.365dm.com/25/07/384x288/9ebd0b2721c71e1715414d45972bfbeeab7276453ec7ad5fda29b5c5b52dd9fc_6954844.jpg?20250701204200,2025-07-04 10:19:25.275877
The 'Big Beautiful Bill' on Independence Day,https://news.sky.com/video/trump-100-the-big-beautiful-bill-on-independence-day-13392171,https://e3.365dm.com/25/04/384x288/skynews-trump100-podcasts_6901216.png?20250430053042,2025-07-04 10:19:25.276051
Man's 33-year Wimbledon streak continues,https://news.sky.com/video/the-man-who-has-camped-out-at-wimbledon-for-every-tournament-since-1992-13390699,https://e3.365dm.com/25/06/384x288/image_6954089.jpg?20250630220548,2025-07-04 10:19:25.276224
Police at Jota crash site,https://news.sky.com/video/police-at-site-of-diogo-jota-car-crash-site-in-spain-13391867,https://e3.365dm.com/25/07/384x288/skynews-accident-diogo-jota_6956155.jpg?20250703120555,2025-07-04 10:19:25.276492
Why was the chancellor crying at PMQs?,https://news.sky.com/video/why-was-chancellor-rachel-reeves-crying-at-pmqs-13391555,https://e3.365dm.com/25/07/384x288/skynews-reeves-crying-coates-reeves_6955602.jpg?20250702172552,2025-07-04 10:19:25.276659
Reeves 'wipes away tears' in Commons,https://news.sky.com/video/rachel-reeves-appeared-to-be-crying-says-deputy-political-editor-sam-coates-13391435,https://e3.365dm.com/25/07/384x288/skynews-rachel-reeves-tears_6955349.jpg?20250702130000,2025-07-04 10:19:25.276831
The highly addictive drug turning people into 'zombies',https://news.sky.com/video/inside-the-drug-epidemic-creating-zombies-in-west-africa-13391479,https://e3.365dm.com/25/07/384x288/skynews-kush-yousra-elbagir_6955112.jpg?20250702101931,2025-07-04 10:19:25.276988
Rachel Reeves crying will stick in voters' minds,https://news.sky.com/video/sophys-thought-people-wont-forget-rachel-reeves-crying-13391624,https://e3.365dm.com/25/07/384x288/skynews-sophy-ridge-rachel-reeves_6955905.jpg?20250703073907,2025-07-04 10:19:25.277155
'You've totally ignored my question',https://news.sky.com/video/prime-minister-defends-lack-of-reaction-to-chancellor-crying-in-pmqs-13391878,https://e3.365dm.com/25/07/384x288/skynews-rigby-starmer_6956141.jpg?20250703114136,2025-07-04 10:19:25.277312
Reeves 'appeared to be crying',https://news.sky.com/video/rachel-reeves-appeared-to-be-crying-says-deputy-political-editor-sam-coates-13391420,https://e3.365dm.com/25/07/384x288/skynews-rachel-reeves-tears_6955349.jpg?20250702130000,2025-07-04 10:19:25.277480
Jota the champion and newlywed,https://news.sky.com/video/liverpool-forward-diogo-jota-killed-in-car-crash-in-spain-13391813,https://e3.365dm.com/25/07/384x288/skynews-diogo-jota-rob-harris_6956118.jpg?20250703112524,2025-07-04 10:19:25.277754
